,track_uri,artist_uri,genres
0,5p7ujcrUXASCNwRaWNHR1C,26VFTg2z8YR0cCuwLzESi2,dance pop
0,5p7ujcrUXASCNwRaWNHR1C,26VFTg2z8YR0cCuwLzESi2,electropop
0,5p7ujcrUXASCNwRaWNHR1C,26VFTg2z8YR0cCuwLzESi2,etherpop
0,5p7ujcrUXASCNwRaWNHR1C,26VFTg2z8YR0cCuwLzESi2,indie poptimism
0,5p7ujcrUXASCNwRaWNHR1C,26VFTg2z8YR0cCuwLzESi2,pop
1,4uDhts78RdwIDjEqPrYVKp,7vk5e3vY1uw9plTHJAMwjN,electro house
2,4l0Mvzj72xxOpRrp6h8nHi,0C8ZW7ezQVs4URX5aX7Kqx,dance pop
2,4l0Mvzj72xxOpRrp6h8nHi,0C8ZW7ezQVs4URX5aX7Kqx,pop
2,4l0Mvzj72xxOpRrp6h8nHi,0C8ZW7ezQVs4URX5aX7Kqx,post-teen pop
3,0bMbDctzMmTyK2j74j3nF3,7vk5e3vY1uw9plTHJAMwjN,electro house
4,2RSHsoi04658QL5xgQVov3,53XhwfbYqKCa1cC15pYq2q,modern rock
4,2RSHsoi04658QL5xgQVov3,53XhwfbYqKCa1cC15pYq2q,pop
4,2RSHsoi04658QL5xgQVov3,53XhwfbYqKCa1cC15pYq2q,rock
5,7fa9MBXhVfQ8P8Df9OEbD8,04gDigrS5kc9YWfZHwBETP,pop
5,7fa9MBXhVfQ8P8Df9OEbD8,04gDigrS5kc9YWfZHwBETP,pop rock
6,6hFi0gXP8KItwMqfBgf44b,53XhwfbYqKCa1cC15pYq2q,modern rock
6,6hFi0gXP8KItwMqfBgf44b,53XhwfbYqKCa1cC15pYq2q,pop
6,6hFi0gXP8KItwMqfBgf44b,53XhwfbYqKCa1cC15pYq2q,rock
7,32Mh7kOCWmNTZgre0cGvCV,1R2iRWvuwwokMKGHirNGTD,arab trap
7,32Mh7kOCWmNTZgre0cGvCV,1R2iRWvuwwokMKGHirNGTD,bass trap
7,32Mh7kOCWmNTZgre0cGvCV,1R2iRWvuwwokMKGHirNGTD,turkish trap
8,62aP9fBQKYKxi7PDXwcUAS,1lmU3giNF3CSbkVSQmLpHQ,tropical house
9,3h4T9Bg8OVSUYa6danHeH5,04gDigrS5kc9YWfZHwBETP,pop
9,3h4T9Bg8OVSUYa6danHeH5,04gDigrS5kc9YWfZHwBETP,pop rock
10,62yJjFtgkhUrXktIoSjgP2,53XhwfbYqKCa1cC15pYq2q,modern rock
10,62yJjFtgkhUrXktIoSjgP2,53XhwfbYqKCa1cC15pYq2q,pop
10,62yJjFtgkhUrXktIoSjgP2,53XhwfbYqKCa1cC15pYq2q,rock
11,0pqnGHJpmpxLKifKRmU6WP,53XhwfbYqKCa1cC15pYq2q,modern rock
11,0pqnGHJpmpxLKifKRmU6WP,53XhwfbYqKCa1cC15pYq2q,pop
11,0pqnGHJpmpxLKifKRmU6WP,53XhwfbYqKCa1cC15pYq2q,rock
12,1zB4vmk8tFRmM9UULNzbLB,53XhwfbYqKCa1cC15pYq2q,modern rock
12,1zB4vmk8tFRmM9UULNzbLB,53XhwfbYqKCa1cC15pYq2q,pop
12,1zB4vmk8tFRmM9UULNzbLB,53XhwfbYqKCa1cC15pYq2q,rock
